test,source,event,pile,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,candidate,uniform,delta,snapshots
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,2,profile_nrmse,0.24454543152525515,0.2645768589626187,-0.020031427437363525,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,2,peak_load_error,0.20449656069202193,0.3757299351294789,-0.17123337443745695,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,original,3,profile_nrmse,0.22107217130319382,0.2585282275515644,-0.03745605624837059,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,original,3,peak_load_error,0.20449656069202193,0.2704113609774243,-0.06591480028540236,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,original,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,3,profile_nrmse,0.22107217130319382,0.2585282275515644,-0.03745605624837059,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,3,peak_load_error,0.20449656069202193,0.2704113609774243,-0.06591480028540236,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,original,4,profile_nrmse,0.24389720020234115,0.23874352179873126,0.00515367840360989,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,original,4,peak_load_error,0.0,0.2704113609774243,-0.2704113609774243,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,original,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,4,profile_nrmse,0.24389720020234115,0.23874352179873126,0.00515367840360989,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,4,peak_load_error,0.0,0.2704113609774243,-0.2704113609774243,240
SKS02,SKS03,EQM_1,1,1,0.25,240,shaking,boundary_retained,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,240
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,original,2,profile_nrmse,0.38207751958715963,0.2645782784178255,0.11749924116933413,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,original,2,peak_load_error,0.20451024932276515,0.37572438247880713,-0.17121413315604198,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,original,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,boundary_retained,2,profile_nrmse,0.24454558794503342,0.2645782784178255,-0.020032690472792075,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,boundary_retained,2,peak_load_error,0.20451024932276515,0.37572438247880713,-0.17121413315604198,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,boundary_retained,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,original,3,profile_nrmse,0.22106936174726696,0.25852420026647205,-0.037454838519205086,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,original,3,peak_load_error,0.20451024932276515,0.27039253521969364,-0.06588228589692849,120
SKS02,SKS03,EQM_1,1,1,0.5,120,shaking,original,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,120
